area_name,map_ids,trainer_events,trainer_battle_calls,encounter_table_count,encounter_slots_total,encounter_slots_base,encounter_slots_time,encounter_slots_weather,unique_encounter_species,ground_item_events,ground_items_standard,ground_items_special,ground_item_options,ground_item_ids,hidden_items_itemfinder,hidden_items_named,hidden_items_inferred,hidden_item_ids
Altering Cave,70,0,0,1,2,2,0,0,2,0,0,0,0,,0,0,0,
archive,105,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
Cinematics,22,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
Cities,3,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
Cliffside Sanctuary,109|111,0,0,0,0,0,0,0,0,2,2,0,2,MAXREVIVE,0,0,0,
Clothes testing,100,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
Clothing Boutique,94,0,0,0,0,0,0,0,0,1,0,1,1,PRESENT,0,0,0,
Common Maps,23,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
Contest Hall,110,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
cutscene_1,91,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
DEBUG,103,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
Dewford Gym,79|80,7,7,2,7,7,0,0,4,1,0,1,1,PRESENT,0,0,0,
Dewford Town,51,0,0,10,23,12,2,9,9,0,0,0,0,,0,0,0,
Dewford Town Interiors,81,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
Dungeons,29,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
EVENT_TEMPLATES,21,1,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,
Flower Shop,63,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
Game Corner,96,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
Granite Cave 1F,32,0,0,1,4,4,0,0,4,1,1,0,1,ESCAPEROPE,0,0,0,
Granite Cave 1F-2,36,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
Granite Cave 1F-2_alt,33,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
Granite Cave B1F,34,0,0,1,5,5,0,0,5,1,1,0,1,POKEBALL,0,0,0,
Granite Cave B2F,35,0,0,2,8,8,0,0,8,3,3,0,3,RARECANDY|REPEL|TM65,0,0,2,EVERSTONE
Happy Birthday!,27,0,0,0,0,0,0,0,0,1,0,1,1,PRESENT,0,0,0,
Hidden Clearing,62,0,0,10,40,11,21,8,16,1,1,0,1,LEAFSTONE,0,0,0,
Hidden Cove,69,0,0,13,32,20,2,10,17,2,2,0,2,PRISMSCALE|TM105,0,0,0,
Hoenn,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
Illusion Grove,97|98,0,0,2,12,12,0,0,7,4,4,0,4,DNAREVERSERS|SMOKEBALL|TM95|TM97,0,0,0,
Intro,295,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
Kiwi,16,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
Littleroot Interiors,13,0,0,0,0,0,0,0,0,2,0,2,2,PRESENT,0,0,0,
Littleroot Town,9,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
