map_id,area_name,event_id,x,y,pickup_kind,event_name,item_ids,visual
7,Petalburg Town,36,23,6,standard_ground_item,ItemBall,RARECANDY,Objects
10,Route 102,19,13,25,standard_ground_item,ItemBall,POTION,Objects
11,Route 103,27,64,11,standard_ground_item,Item,GUARDSPEC,Objects
11,Route 103,25,93,7,standard_ground_item,Item,PPUP,Objects
12,Route 104 (South),30,35,28,standard_ground_item,ItemBall,DNASPLICERS,Objects
13,Littleroot Interiors,97,7,9,special_present,Item Present,PRESENT,Objects
13,Littleroot Interiors,98,26,9,special_present,Item Present,PRESENT,Objects
18,Professor Birch's Lab,24,8,5,special_present,Item Present,PRESENT,Objects
20,Route 104 (North),33,26,18,standard_ground_item,EV033,PPUP,Objects
20,Route 104 (North),29,26,22,standard_ground_item,Item,PPUP,Objects
20,Route 104 (North),2,52,19,standard_ground_item,Item,XACCURACY,Objects
20,Route 104 (North),30,19,25,standard_ground_item,EV030,TM32,Objects
20,Route 104 (North),4,11,17,standard_ground_item,item.shadowless,POKEBALL,Objects
27,Happy Birthday!,17,15,8,special_present,Item Present,PRESENT,Objects
28,Rusturf Tunnel,3,8,6,standard_ground_item,Item,POKEBALL,Objects
28,Rusturf Tunnel,4,35,7,standard_ground_item,Item,MAXETHER,Objects
30,Petalburg Woods,44,56,10,standard_ground_item,ItemBall,MIRACLESEED,Objects
30,Petalburg Woods,34,26,15,standard_ground_item,ItemBall,PARLYZHEAL,Objects
30,Petalburg Woods,31,12,29,standard_ground_item,Item,DNASPLICERS,Objects
31,Route 116,16,22,15,standard_ground_item,Item,SUPERPOTION,Objects
31,Route 116,17,10,22,standard_ground_item,Item,REPEL,Objects
31,Route 116,12,55,18,standard_ground_item,itemBall,XSPATK,Objects
31,Route 116,14,34,13,standard_ground_item,Item,POTION,Objects
31,Route 116,15,26,13,standard_ground_item,Item,ETHER,Objects
31,Route 116,32,26,15,standard_ground_item,Item,ANTIDOTE,Objects
32,Granite Cave 1F,5,34,13,standard_ground_item,EV005,ESCAPEROPE,Objects
34,Granite Cave B1F,66,22,26,standard_ground_item,EV066,POKEBALL,Objects
35,Granite Cave B2F,12,26,2,standard_ground_item,Item,TM65,Objects
35,Granite Cave B2F,3,10,9,standard_ground_item,EV003,REPEL,Objects
35,Granite Cave B2F,4,36,10,standard_ground_item,EV004,RARECANDY,Objects
38,Route 108,33,54,46,standard_ground_item,Item,STARPIECE,Objects
38,Route 108,34,30,57,standard_ground_item,Item,PEARL,Objects
38,Route 108,64,84,29,special_present,Item Present,PRESENT,Objects
39,Route 109,41,7,25,standard_ground_item,Item,PPUP,Objects
39,Route 109,42,42,6,standard_ground_item,Item,SUPERPOTION,Objects
39,Route 109,43,20,7,standard_ground_item,Item,LEMONADE,Objects
39,Route 109,53,44,33,standard_ground_item,Item,MAXREVIVE,Objects
41,quest_route 104N,33,26,18,standard_ground_item,EV033,PPUP,Objects
41,quest_route 104N,29,26,22,standard_ground_item,Item,PPUP,Objects
41,quest_route 104N,2,52,19,standard_ground_item,EV002,XACCURACY,Objects
41,quest_route 104N,30,19,25,standard_ground_item,EV030,TM32,Objects
41,quest_route 104N,4,11,17,standard_ground_item,item.shadowless,POKEBALL,Objects
47,Rustboro City,20,23,60,standard_ground_item,EV020,AWAKENING,Objects
47,Rustboro City,50,37,16,standard_ground_item,Item,DNASPLICERS,Objects
47,Rustboro City,51,18,28,standard_ground_item,Item,FUSIONREPEL,Objects
47,Rustboro City,91,51,60,standard_ground_item,Item,GREATBALL,Objects
49,Route 106,21,27,16,standard_ground_item,EV021,SUPERPOTION,Objects
58,Seaside Cottage,5,10,5,special_present,Item Present,PRESENT,Objects
61,Petalburg Gym,12,9,7,special_present,Item Present,PRESENT,Objects
62,Hidden Clearing,5,19,13,standard_ground_item,Item,LEAFSTONE,Objects
65,Route 115,5,33,23,special_tile_pickup,Meteorite,COMETSHARD,tile:1234
65,Route 115,16,46,64,standard_ground_item,Item,GREATBALL,Objects
65,Route 115,22,41,28,special_tile_pickup,Meteorite,COMETSHARD,tile:1234
65,Route 115,17,30,65,standard_ground_item,Item,SUPERPOTION,Objects
65,Route 115,18,40,30,standard_ground_item,Item,IRON,Objects
65,Route 115,13,49,54,standard_ground_item,Item,SUPERPOTION,Objects
65,Route 115,19,20,15,standard_ground_item,Item,HEALPOWDER,Objects
65,Route 115,20,36,9,standard_ground_item,Item,TM01,Objects
65,Route 115,15,38,71,standard_ground_item,ItemBall,PPUP,Objects
65,Route 115,21,39,24,special_tile_pickup,Meteorite,COMETSHARD,tile:1234
