map_id,area_name,hierarchy,trainer_events,trainer_battle_calls,trainer_identities,encounter_table_count,encounter_slots_total,encounter_slots_base,encounter_slots_time,encounter_slots_weather,encounter_slots_by_type,unique_encounter_species,ground_item_events,ground_items_standard,ground_items_special,ground_item_options,ground_item_ids,hidden_items_itemfinder,hidden_items_named,hidden_items_inferred,hidden_item_ids,visible_item_events,event_count,trainer_named_without_call,trainer_call_without_name
1,Hoenn,Hoenn,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,,0,0,,
2,Petalburg Town_diveTest,Hoenn > Cities > Petalburg Town > Petalburg Town_diveTest,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,,0,1,,
3,Cities,Hoenn > Cities,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,,0,0,,
4,Routes,Hoenn > Routes,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,,0,0,,
5,Route 101,Hoenn > Routes > Route 101,0,0,,8,17,0,12,5,LandDay:4|LandFog:1|LandMorning:4|LandNight:4|LandRain:1|LandStorm:1|LandSunny:1|LandWind:1,4,0,0,0,0,,0,0,0,,0,26,,
6,Slateport City,Hoenn > Cities > Slateport City,0,0,,5,14,12,2,0,GoodRod:4|OldRod:3|SuperRod:2|Water:3|WaterNight:2,7,0,0,0,0,,1,0,1,SUPERPOTION,0,104,,
7,Petalburg Town,Hoenn > Cities > Petalburg Town,0,0,,9,18,9,0,9,GoodRod:3|OldRod:2|SuperRod:1|Water:3|WaterFog:1|WaterRain:3|WaterStorm:1|WaterSunny:2|WaterWind:2,12,1,1,0,1,RARECANDY,0,0,0,,1,53,,
8,Oldale Town,Hoenn > Cities > Oldale Town,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,,0,21,,
9,Littleroot Town,Hoenn > Cities > Littleroot Town,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,,0,34,,
10,Route 102,Hoenn > Routes > Route 102,4,4,BUGCATCHER:Rick|LASS:Tiana|YOUNGSTER:Allen|YOUNGSTER:Charlie,14,28,16,0,12,GoodRod:3|Land:6|LandFog:1|LandRain:2|LandStorm:2|LandSunny:1|LandWind:1|OldRod:2|SuperRod:1|Water:4|WaterFog:1|WaterRain:2|WaterSunny:1|WaterWind:1,14,1,1,0,1,POTION,0,0,0,,1,21,,
11,Route 103,Hoenn > Routes > Route 103,7,7,AROMALADY:Daisy|BLACKBELT:Rhett|FISHERMAN:Andrew|POKEFAN_M:Miguel|ROCKER:Marcos|TEAM_AQUA_GRUNT_F:Meg|TEAM_MAGMA_GRUNT_M:Simon,17,30,10,11,9,GoodRod:3|LandDay:3|LandMorning:3|LandNight:3|LandRain:1|LandStorm:1|LandSunny:1|LandWind:1|OldRod:2|SuperRod:2|Water:3|WaterFog:1|WaterNight:2|WaterRain:1|WaterStorm:1|WaterSunny:1|WaterWind:1,12,2,2,0,2,GUARDSPEC|PPUP,0,0,0,,2,63,,
12,Route 104 (South),Hoenn > Routes > Route 104 (South),3,3,FISHERMAN:Darian|LADY:Cindy|YOUNGSTER:Billy,16,28,10,2,16,GoodRod:1|Land:5|LandFog:3|LandRain:2|LandStorm:1|LandSunny:1|LandWind:2|OldRod:1|SuperRod:1|Water:2|WaterFog:1|WaterNight:2|WaterRain:1|WaterStorm:1|WaterSunny:2|WaterWind:2,15,1,1,0,1,DNASPLICERS,3,0,3,ANTIDOTE|HEARTSCALE|POTION,1,36,,
13,Littleroot Interiors,Hoenn > Cities > Littleroot Town > Littleroot Interiors,0,0,,0,0,0,0,0,,0,2,0,2,2,PRESENT,0,0,0,,2,98,,
14,Truck,Hoenn > Cities > Littleroot Town > Truck,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,,0,24,,
15,New maps,New maps,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,,0,0,,
16,Kiwi,New maps > Kiwi,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,,0,12,,
17,Paya,New maps > Paya,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,,0,0,,
18,Professor Birch's Lab,Hoenn > Cities > Littleroot Town > Professor Birch's Lab,0,0,,0,0,0,0,0,,0,1,0,1,1,PRESENT,0,0,0,,1,24,,
19,Route 104 (South),Hoenn > Routes > Route 104 (South) > Route 104 (South),1,1,YOUNGSTER:Charlie,0,0,0,0,0,,0,0,0,0,0,,0,0,0,,0,5,,
20,Route 104 (North),Hoenn > Routes > Route 104 (North),3,3,FISHERMAN:Ivan|LASS:Haley|RICHBOY:Winston,17,41,24,0,17,GoodRod:3|Land:5|Land1:4|Land3:4|LandFog:2|LandRain:2|LandStorm:1|LandSunny:1|LandWind:2|OldRod:2|SuperRod:1|Water:5|WaterFog:1|WaterRain:3|WaterStorm:1|WaterSunny:2|WaterWind:2,20,5,5,0,5,POKEBALL|PPUP|TM32|XACCURACY,1,0,1,SUPERPOTION,5,49,,
21,EVENT_TEMPLATES,COMMON > EVENT_TEMPLATES,1,1,YOUNGSTER:Charlie,0,0,0,0,0,,0,0,0,0,0,,0,0,0,,0,14,,
22,Cinematics,COMMON > Cinematics,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,,0,0,,
23,Common Maps,COMMON > Common Maps,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,,0,0,,
24,PokéMart,COMMON > Common Maps > PokéMart,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,,0,7,,
25,Pokémon Center,COMMON > Common Maps > Pokémon Center,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,,0,20,,
26,Wonder Trade Center,COMMON > Common Maps > Wonder Trade Center,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,,0,9,,
27,Happy Birthday!,COMMON > Common Maps > Happy Birthday!,0,0,,0,0,0,0,0,,0,1,0,1,1,PRESENT,0,0,0,,1,17,,
