map_id,area_name,version,encounter_type,category,slot,weight,species,min_level,max_level
5,Route 101,0,LandDay,time,1,40,WURMPLE,2,3
5,Route 101,0,LandDay,time,2,37,ZIGZAGOON,2,3
5,Route 101,0,LandDay,time,3,20,POOCHYENA,2,3
5,Route 101,0,LandDay,time,4,3,EEVEE,2,3
5,Route 101,0,LandFog,weather,1,100,WURMPLE,2,3
5,Route 101,0,LandMorning,time,1,60,WURMPLE,2,3
5,Route 101,0,LandMorning,time,2,27,ZIGZAGOON,2,3
5,Route 101,0,LandMorning,time,3,10,POOCHYENA,2,3
5,Route 101,0,LandMorning,time,4,3,EEVEE,2,3
5,Route 101,0,LandNight,time,1,57,POOCHYENA,2,3
5,Route 101,0,LandNight,time,2,30,WURMPLE,2,3
5,Route 101,0,LandNight,time,3,10,ZIGZAGOON,2,3
5,Route 101,0,LandNight,time,4,3,EEVEE,2,3
5,Route 101,0,LandRain,weather,1,100,WURMPLE,2,3
5,Route 101,0,LandStorm,weather,1,100,POOCHYENA,2,3
5,Route 101,0,LandSunny,weather,1,100,ZIGZAGOON,2,3
5,Route 101,0,LandWind,weather,1,100,POOCHYENA,2,3
6,Slateport City,0,GoodRod,base,1,40,MAGIKARP,10,30
6,Slateport City,0,GoodRod,base,2,20,LUVDISC,10,30
6,Slateport City,0,GoodRod,base,3,20,TENTACOOL,10,30
6,Slateport City,0,GoodRod,base,4,20,WAILMER,10,30
6,Slateport City,0,OldRod,base,1,50,MAGIKARP,5,10
6,Slateport City,0,OldRod,base,2,30,TENTACOOL,5,10
6,Slateport City,0,OldRod,base,3,20,LUVDISC,5,10
6,Slateport City,0,SuperRod,base,1,60,WAILMER,20,45
6,Slateport City,0,SuperRod,base,2,40,LUVDISC,20,45
6,Slateport City,0,Water,base,1,60,TENTACOOL,5,35
6,Slateport City,0,Water,base,2,35,WINGULL,10,30
6,Slateport City,0,Water,base,3,5,PELIPPER,25,30
6,Slateport City,0,WaterNight,time,1,60,TENTACOOL,5,35
6,Slateport City,0,WaterNight,time,2,40,STARYU,10,30
7,Petalburg Town,0,GoodRod,base,1,60,MAGIKARP,10,30
7,Petalburg Town,0,GoodRod,base,2,20,CORPHISH,10,30
7,Petalburg Town,0,GoodRod,base,3,20,GOLDEEN,10,30
7,Petalburg Town,0,OldRod,base,1,70,MAGIKARP,5,10
7,Petalburg Town,0,OldRod,base,2,30,CORPHISH,5,10
7,Petalburg Town,0,SuperRod,base,1,100,CORPHISH,20,45
7,Petalburg Town,0,Water,base,1,70,MARILL,5,35
7,Petalburg Town,0,Water,base,2,25,LOTAD,5,10
7,Petalburg Town,0,Water,base,3,5,LOMBRE,20,30
7,Petalburg Town,0,WaterFog,weather,1,100,WINGULL,25,35
7,Petalburg Town,0,WaterRain,weather,1,65,MARILL,5,35
7,Petalburg Town,0,WaterRain,weather,2,20,SURSKIT,20,25
7,Petalburg Town,0,WaterRain,weather,3,15,AZUMARILL,20,35
7,Petalburg Town,0,WaterStorm,weather,1,100,SKIPLOOM,20,30
7,Petalburg Town,0,WaterSunny,weather,1,80,HOPPIP,15,15
7,Petalburg Town,0,WaterSunny,weather,2,20,BEAUTIFLY,20,25
7,Petalburg Town,0,WaterWind,weather,1,75,HOPPIP,20,25
7,Petalburg Town,0,WaterWind,weather,2,25,SKIPLOOM,20,30
10,Route 102,0,GoodRod,base,1,60,MAGIKARP,10,30
10,Route 102,0,GoodRod,base,2,20,CORPHISH,10,30
10,Route 102,0,GoodRod,base,3,20,GOLDEEN,10,30
10,Route 102,0,Land,base,1,30,POOCHYENA,3,4
10,Route 102,0,Land,base,2,30,WURMPLE,3,4
10,Route 102,0,Land,base,3,15,ZIGZAGOON,3,4
10,Route 102,0,Land,base,4,10,LOTAD,2,4
10,Route 102,0,Land,base,5,10,SEEDOT,3,3
10,Route 102,0,Land,base,6,5,RALTS,4,4
10,Route 102,0,LandFog,weather,1,100,RALTS,3,4
10,Route 102,0,LandRain,weather,1,70,SURSKIT,3,4
10,Route 102,0,LandRain,weather,2,30,LOTAD,2,4
10,Route 102,0,LandStorm,weather,1,60,LOTAD,3,4
10,Route 102,0,LandStorm,weather,2,40,SURSKIT,4,5
10,Route 102,0,LandSunny,weather,1,100,FLETCHLING,3,4
10,Route 102,0,LandWind,weather,1,100,SEEDOT,2,4
10,Route 102,0,OldRod,base,1,70,MAGIKARP,5,10
10,Route 102,0,OldRod,base,2,30,GOLDEEN,5,10
10,Route 102,0,SuperRod,base,1,100,CORPHISH,20,45
10,Route 102,0,Water,base,1,50,MARILL,5,25
10,Route 102,0,Water,base,2,20,LOTAD,10,15
10,Route 102,0,Water,base,3,20,SURSKIT,10,25
10,Route 102,0,Water,base,4,10,GOLDEEN,20,30
10,Route 102,0,WaterFog,weather,1,100,WINGULL,10,30
10,Route 102,0,WaterRain,weather,1,85,WINGULL,10,30
10,Route 102,0,WaterRain,weather,2,15,PELIPPER,25,30
10,Route 102,0,WaterSunny,weather,1,100,FLETCHLING,10,30
10,Route 102,0,WaterWind,weather,1,100,WINGULL,10,30
11,Route 103,0,GoodRod,base,1,60,MAGIKARP,10,30
11,Route 103,0,GoodRod,base,2,20,TENTACOOL,10,30
11,Route 103,0,GoodRod,base,3,20,WAILMER,10,30
11,Route 103,0,LandDay,time,1,60,ZIGZAGOON,2,4
11,Route 103,0,LandDay,time,2,30,WINGULL,2,4
11,Route 103,0,LandDay,time,3,10,POOCHYENA,2,4
11,Route 103,0,LandMorning,time,1,60,ZIGZAGOON,2,4
11,Route 103,0,LandMorning,time,2,30,POOCHYENA,2,4
11,Route 103,0,LandMorning,time,3,10,WINGULL,2,4
11,Route 103,0,LandNight,time,1,70,POOCHYENA,2,4
11,Route 103,0,LandNight,time,2,20,ZIGZAGOON,2,4
11,Route 103,0,LandNight,time,3,10,WINGULL,2,4
11,Route 103,0,LandRain,weather,1,100,AZURILL,2,4
11,Route 103,0,LandStorm,weather,1,100,HOPPIP,2,4
11,Route 103,0,LandSunny,weather,1,100,HOPPIP,2,4
11,Route 103,0,LandWind,weather,1,100,HOPPIP,2,4
