record_type,area_id,area_name,map_ids,entry_id,map_id,event_id,x,y,hidden,kind,authored_ids
area,area:5,Route 101,5,,,,,,,,
area,area:6,Slateport City,6,,,,,,,,
item,area:6,Slateport City,6,item:6:98,6,98,33,2,true,hidden_item,SUPERPOTION
area,area:7,Petalburg Town,7,,,,,,,,
item,area:7,Petalburg Town,7,item:7:36,7,36,23,6,false,standard_ground_item,RARECANDY
area,area:10,Route 102,10,,,,,,,,
trainer,area:10,Route 102,10,trainer:10:YOUNGSTER:Allen,10,1,,,,,YOUNGSTER:Allen:0
trainer,area:10,Route 102,10,trainer:10:YOUNGSTER:Charlie,10,2,,,,,YOUNGSTER:Charlie:0
trainer,area:10,Route 102,10,trainer:10:BUGCATCHER:Rick,10,7,,,,,BUGCATCHER:Rick:0
trainer,area:10,Route 102,10,trainer:10:LASS:Tiana,10,8,,,,,LASS:Tiana:0
item,area:10,Route 102,10,item:10:19,10,19,13,25,false,standard_ground_item,POTION
area,area:11,Route 103,11,,,,,,,,
trainer,area:11,Route 103,11,trainer:11:ROCKER:Marcos,11,13,,,,,ROCKER:Marcos:0
trainer,area:11,Route 103,11,trainer:11:BLACKBELT:Rhett,11,15,,,,,BLACKBELT:Rhett:0
trainer,area:11,Route 103,11,trainer:11:FISHERMAN:Andrew,11,16,,,,,FISHERMAN:Andrew:0
trainer,area:11,Route 103,11,trainer:11:POKEFAN_M:Miguel,11,19,,,,,POKEFAN_M:Miguel:0
trainer,area:11,Route 103,11,trainer:11:AROMALADY:Daisy,11,20,,,,,AROMALADY:Daisy:0
trainer,area:11,Route 103,11,trainer:11:TEAM_MAGMA_GRUNT_M:Simon,11,21,,,,,TEAM_MAGMA_GRUNT_M:Simon:0
trainer,area:11,Route 103,11,trainer:11:TEAM_AQUA_GRUNT_F:Meg,11,48,,,,,TEAM_AQUA_GRUNT_F:Meg:0
item,area:11,Route 103,11,item:11:25,11,25,93,7,false,standard_ground_item,PPUP
item,area:11,Route 103,11,item:11:27,11,27,64,11,false,standard_ground_item,GUARDSPEC
area,"area:12,19",Route 104 (South),12|19,,,,,,,,
trainer,"area:12,19",Route 104 (South),12|19,trainer:12:YOUNGSTER:Billy,12,5,,,,,YOUNGSTER:Billy:0
trainer,"area:12,19",Route 104 (South),12|19,trainer:12:FISHERMAN:Darian,12,8,,,,,FISHERMAN:Darian:0
trainer,"area:12,19",Route 104 (South),12|19,trainer:12:LADY:Cindy,12,9,,,,,LADY:Cindy:0
trainer,"area:12,19",Route 104 (South),12|19,trainer:19:YOUNGSTER:Charlie,19,5,,,,,YOUNGSTER:Charlie:0
item,"area:12,19",Route 104 (South),12|19,item:12:30,12,30,35,28,false,standard_ground_item,DNASPLICERS
item,"area:12,19",Route 104 (South),12|19,item:12:31,12,31,17,28,true,hidden_item,POTION
item,"area:12,19",Route 104 (South),12|19,item:12:32,12,32,21,47,true,hidden_item,HEARTSCALE
item,"area:12,19",Route 104 (South),12|19,item:12:33,12,33,19,51,true,hidden_item,ANTIDOTE
area,area:13,Littleroot Interiors,13,,,,,,,,
item,area:13,Littleroot Interiors,13,item:13:97,13,97,7,9,false,special_present,PRESENT
item,area:13,Littleroot Interiors,13,item:13:98,13,98,26,9,false,special_present,PRESENT
area,area:18,Professor Birch's Lab,18,,,,,,,,
item,area:18,Professor Birch's Lab,18,item:18:24,18,24,8,5,false,special_present,PRESENT
area,area:20,Route 104 (North),20,,,,,,,,
trainer,area:20,Route 104 (North),20,trainer:20:LASS:Haley,20,9,,,,,LASS:Haley:0
