id,name,pocket,price,machine,tm,hm,tr,key_item,berry,ordinary_pool,tm_pool,held_pool,invalid,random_exception,non_randomize
ABILITYBALL,Ability Ball,3,600,false,false,false,false,false,false,true,false,false,false,false,false
ABILITYCAPSULE,Ability Capsule,1,9500,false,false,false,false,false,false,true,false,false,false,false,false
ABILITYURGE,Ability Urge,7,0,false,false,false,false,false,false,true,false,false,false,false,false
ABSORBBULB,Absorb Bulb,1,4000,false,false,false,false,false,false,true,false,true,false,false,false
ACCURACYUP,unknown_item,2,2,false,false,false,false,false,false,false,false,false,true,false,false
ACROBIKE,Acro Bike,8,0,false,false,false,false,true,false,false,false,false,false,false,false
ADAMANTORB,Adamant Orb,1,10000,false,false,false,false,false,false,true,false,false,false,false,false
ADRENALINEORB,Adrenaline Orb,1,300,false,false,false,false,false,false,true,false,false,false,false,false
AGUAVBERRY,Aguav Berry,5,20,false,false,false,false,false,true,true,false,true,false,false,false
AIRBALLOON,Air Balloon,1,4000,false,false,false,false,false,false,true,false,true,false,false,false
AIRMAIL,Air Mail,6,50,false,false,false,false,false,false,true,false,false,false,false,false
AMULETCOIN,Amulet Coin,1,10000,false,false,false,false,false,false,true,false,false,false,false,false
ANCIENTSTONE,unknown_item,1,1,false,false,false,false,false,false,false,false,false,true,false,false
ANTIDOTE,Antidote,2,200,false,false,false,false,false,false,true,false,false,false,false,false
APICOTBERRY,Apicot Berry,5,20,false,false,false,false,false,true,true,false,true,false,false,false
AQUAUNIFORM,Team Aqua Uniform,8,0,false,false,false,false,true,false,false,false,false,false,false,false
ARMORFOSSIL,Armor Fossil,1,7000,false,false,false,false,false,false,true,false,false,false,false,false
ASPEARBERRY,Aspear Berry,5,20,false,false,false,false,false,true,true,false,true,false,false,false
ASSAULTVEST,Assault Vest,1,1000,false,false,false,false,false,false,true,false,false,false,false,false
AURORATICKET,Navel Ticket,8,0,false,false,false,false,true,false,false,false,false,false,false,false
AWAKENING,Awakening,2,100,false,false,false,false,false,false,true,false,false,false,false,false
AZUREFLUTE,Azure Flute,8,0,false,false,false,false,true,false,false,false,false,false,false,false
BABIRIBERRY,Babiri Berry,5,20,false,false,false,false,false,true,true,false,true,false,false,false
BALMMUSHROOM,Balm Mushroom,1,5000,false,false,false,false,false,false,true,false,false,false,false,false
BANANA,Banana,2,100,false,false,false,false,false,false,true,false,false,false,false,false
BANDLOGO,MMMMemorabilia,8,0,false,false,false,false,true,false,false,false,false,false,false,false
BEDROOMKEY,Bedroom Key,8,0,false,false,false,false,true,false,false,false,false,false,false,false
BEER,Beer,7,0,false,false,false,false,false,false,true,false,false,false,false,false
BELLSPROUTSTATUE,Bellsprout Statues,1,1000,false,false,false,false,false,false,true,false,false,false,false,false
BELUEBERRY,Belue Berry,5,20,false,false,false,false,false,true,true,false,false,false,false,false
BERRYJUICE,Berry Juice,2,100,false,false,false,false,false,false,true,false,false,false,false,false
BERSERKGENE,Berserk Gene,8,0,false,false,false,false,true,false,false,false,false,false,false,false
BICYCLE,Bicycle,8,0,false,false,false,false,true,false,false,false,false,false,false,false
BIGMUSHROOM,Big Mushroom,1,1000,false,false,false,false,false,false,true,false,false,false,false,false
BIGNUGGET,Big Nugget,1,20000,false,false,false,false,false,false,true,false,false,false,false,false
BIGPEARL,Big Pearl,1,7500,false,false,false,false,false,false,true,false,false,false,false,false
BIGROOT,Big Root,1,4000,false,false,false,false,false,false,true,false,true,false,false,false
BINDINGBAND,Binding Band,1,4000,false,false,false,false,false,false,true,false,true,false,false,false
BLACKAPRICORN,Black Apricorn,1,20,false,false,false,false,false,false,true,false,false,false,false,false
BLACKBELT,Black Belt,1,1000,false,false,false,false,false,false,true,false,true,false,false,false
BLACKFLUTE,Black Flute,1,400,false,false,false,false,false,false,true,false,false,false,false,false
BLACKGLASSES,Black Glasses,1,1000,false,false,false,false,false,false,true,false,true,false,false,false
BLACKSLUDGE,Black Sludge,1,4000,false,false,false,false,false,false,true,false,true,false,false,false
BLOOMMAIL,Bloom Mail,6,50,false,false,false,false,false,false,true,false,false,false,false,false
BLUEAPRICORN,Blue Apricorn,1,20,false,false,false,false,false,false,true,false,false,false,false,false
BLUEFLUTE,Blue Flute,7,100,false,false,false,false,false,false,true,false,false,false,false,false
BLUENECTAR,Blue Nectar,2,400,false,false,false,false,false,false,true,false,false,false,false,false
BLUESCARF,Blue Scarf,1,100,false,false,false,false,false,false,true,false,false,false,false,false
BLUESHARD,Blue Shard,1,200,false,false,false,false,false,false,true,false,false,false,false,false
BLUKBERRY,Bluk Berry,5,20,false,false,false,false,false,true,true,false,false,false,false,false
BOXLINK,Box Link,8,0,false,false,false,false,true,false,false,false,false,false,false,false
BRICKMAIL,Brick Mail,6,50,false,false,false,false,false,false,true,false,false,false,false,false
BRICKS,Bricks,8,0,false,false,false,false,true,false,false,false,false,false,false,false
BRIGHTPOWDER,Bright Powder,1,4000,false,false,false,false,false,false,true,false,true,false,false,false
BRONZEEMBLEM,Bronze emblem,8,0,false,false,false,false,true,false,false,false,false,false,false,false
BUBBLEMAIL,Bubble Mail,6,50,false,false,false,false,false,false,true,false,false,false,false,false
BUGGEM,Bug Gem,1,200,false,false,false,false,false,false,true,false,true,false,false,false
BURNDRIVE,Burn Drive,1,1000,false,false,false,false,false,false,true,false,false,false,false,false
BURNHEAL,Burn Heal,2,300,false,false,false,false,false,false,true,false,false,false,false,false
CALCIUM,Calcium,2,10000,false,false,false,false,false,false,true,false,false,false,false,false
CANDYBALL,Candy Ball,3,4000,false,false,false,false,false,false,true,false,false,false,false,false
CAPTAINSKEY,Captain's Key,8,0,false,false,false,false,true,false,false,false,false,false,false,false
CARBOS,Carbos,2,10000,false,false,false,false,false,false,true,false,false,false,false,false
CARDKEY,Card Key,8,0,false,false,false,false,true,false,false,false,false,false,false,false
CASTELIACONE,Casteliacone,2,350,false,false,false,false,false,false,true,false,false,false,false,false
CELLBATTERY,Cell Battery,1,4000,false,false,false,false,false,false,true,false,true,false,false,true
CHARCOAL,Charcoal,1,1000,false,false,false,false,false,false,true,false,true,false,false,false
CHARTIBERRY,Charti Berry,5,20,false,false,false,false,false,true,true,false,true,false,false,false
CHERIBERRY,Cheri Berry,5,20,false,false,false,false,false,true,true,false,true,false,false,false
CHERISHBALL,Cherish Ball,3,10000,false,false,false,false,false,false,true,false,false,false,false,false
CHESTOBERRY,Chesto Berry,5,20,false,false,false,false,false,true,true,false,true,false,false,false
CHILANBERRY,Chilan Berry,5,20,false,false,false,false,false,true,true,false,true,false,false,false
CHILLDRIVE,Chill Drive,1,1000,false,false,false,false,false,false,true,false,false,false,false,false
CHOICEBAND,Choice Band,1,4000,false,false,false,false,false,false,true,false,true,false,false,false
CHOICESCARF,Choice Scarf,1,4000,false,false,false,false,false,false,true,false,true,false,false,false
CHOICESPECS,Choice Specs,1,4000,false,false,false,false,false,false,true,false,true,false,false,false
CHOPLEBERRY,Chople Berry,5,20,false,false,false,false,false,true,true,false,true,false,false,false
CLAWFOSSIL,Claw Fossil,1,7000,false,false,false,false,false,false,true,false,false,false,false,false
CLEANSETAG,Cleanse Tag,1,5000,false,false,false,false,false,false,true,false,false,false,false,false
CLEVERWING,Clever Wing,2,300,false,false,false,false,false,false,true,false,false,false,false,false
CLIMBINGGEAR,Climbing Gear,8,0,false,false,false,false,true,false,false,false,false,false,false,false
CLOTHESDYEKIT,Clothing Dye Kit,8,0,false,false,false,false,true,false,false,false,false,false,false,false
COBABERRY,Coba Berry,5,20,false,false,false,false,false,true,true,false,true,false,false,false
COFFEE,Coffee,2,700,false,false,false,false,false,false,true,false,false,false,false,false
COINCASE,Coin Case,8,0,false,false,false,false,true,false,false,false,false,false,false,false
COLBURBERRY,Colbur Berry,5,20,false,false,false,false,false,true,true,false,true,false,false,false
COMETSHARD,Comet Shard,1,12000,false,false,false,false,false,false,true,false,false,false,false,false
CORNNBERRY,Cornn Berry,5,20,false,false,false,false,false,true,true,false,false,false,false,false
CORRUPTEDFEATHER,Corrupted Feather,8,0,false,false,false,false,true,false,false,false,false,false,false,false
COVERFOSSIL,unknown_item,1,1000,false,false,false,false,false,false,false,false,false,true,false,false
CUSTAPBERRY,Custap Berry,5,20,false,false,false,false,false,true,true,false,true,false,false,false
DAMAGEUP,unknown_item,2,2,false,false,false,false,false,false,false,false,false,true,false,false
DAMPMULCH,Damp Mulch,1,200,false,false,false,false,false,false,true,false,false,false,false,false
DAMPROCK,Damp Rock,1,4000,false,false,false,false,false,false,true,false,true,false,false,false
DARKGEM,Dark Gem,1,200,false,false,false,false,false,false,true,false,true,false,false,false
DARKSTONE,Dark Stone,8,0,false,false,false,false,true,false,false,false,false,false,false,false
DAWNSTONE,Dawn Stone,1,5000,false,false,false,false,false,false,true,false,false,false,false,false
DEBUGCANDY,Unknown item,2,0,false,false,false,false,false,false,false,false,false,true,false,false
DEBUGGER,Debugger,8,0,false,false,false,false,true,false,false,false,false,false,false,false
DEEPSEASCALE,Deep Sea Scale,1,2000,false,false,false,false,false,false,true,false,false,false,false,false
DEEPSEATOOTH,Deep Sea Tooth,1,2000,false,false,false,false,false,false,true,false,false,false,false,false
DEMHARDMODE,Dem's Badge,8,0,false,false,false,false,true,false,false,false,false,false,false,false
DESTINYKNOT,Destiny Knot,1,4000,false,false,false,false,false,false,true,false,true,false,false,false
DEVOLUTIONSPRAY,Devolution Spray,1,2100,false,false,false,false,false,false,false,false,false,true,false,false
DEVONPARTS,Devon Parts,8,0,false,false,false,false,true,false,false,false,false,false,false,false
DEVONSCOPE,Quest Journal,8,0,false,false,false,false,true,false,false,false,false,false,false,false
DIAMOND,Diamond,1,20000,false,false,false,false,false,false,true,false,false,false,false,false
DIAMONDNECKLACE,Diamond Necklace,1,10000,false,false,false,false,false,false,true,false,false,false,false,false
DIREHIT,Dire Hit,7,1000,false,false,false,false,false,false,true,false,false,false,false,false
DIREHIT2,Super Dire Hit,7,0,false,false,false,false,false,false,true,false,false,false,false,false
DIREHIT3,Hyper Dire Hit,7,0,false,false,false,false,false,false,true,false,false,false,false,false
DIVEBALL,Dive Ball,3,1000,false,false,false,false,false,false,true,false,false,false,false,false
DNAREVERSER,DNA Reverser,1,300,false,false,false,false,false,false,true,false,false,false,false,false
DNASPLICERS,DNA Splicers,1,300,false,false,false,false,false,false,false,false,false,false,true,false
DOMEFOSSIL,Dome Fossil,1,7000,false,false,false,false,false,false,true,false,false,false,false,false
