record_type,identity,value_1,value_2,value_3,value_4,value_5,value_6,value_7,detail
summary,authored_required_item_gift_calls,11,,,,,,,
summary,encounter_slots,729,,,,,,,
summary,event_acquisition_calls,48,,,,,,,
summary,event_resource_calls,283,,,,,,,
summary,evolution_item_branches,62,,,,,,,
summary,evolution_item_methods,3,,,,,,,
summary,obtainability_adapters,18,,,,,,,
summary,randomizable_item_slots,140,,,,,,,
summary,required_evolution_items,25,,,,,,,
summary,runtime_hooks,23,,,,,,,
summary,schema_version,2,,,,,,,
summary,semantic_resource_entries,147,,,,,,,
summary,semantic_source_entries,71,,,,,,,
summary,source_acquisition_calls,33,,,,,,,
summary,source_resource_calls,78,,,,,,,
summary,starter_slots,3,,,,,,,
runtime_hook,Object.pbWildBattle,method,024_Release_073_Gameplay.rb,108,,,,,
runtime_hook,Object.pbWildBattleSpecific,method,004_Encounter_Hooks_2_Wild_Battles.rb,26,,,,,
runtime_hook,Object.pbDoubleWildBattle,method,022_Area_Progress_Runtime_Integration.rb,94,,,,,
runtime_hook,Object.pbTripleWildBattle,method,022_Area_Progress_Runtime_Integration.rb,103,,,,,
runtime_hook,Object.getRandomizedTo,method,004_Encounter_Hooks_3_Gifts_And_Starters.rb,6,,,,,
runtime_hook,Object.tryRandomizeGiftPokemon,method,004_Encounter_Hooks_3_Gifts_And_Starters.rb,18,,,,,
runtime_hook,Object.pbReceiveMysteryGift,method,004_Encounter_Hooks_3_Gifts_And_Starters.rb,38,,,,,
runtime_hook,Object.obtainRandomizedStarter,method,004_Encounter_Hooks_3_Gifts_And_Starters.rb,52,,,,,
runtime_hook,Object.promptCaughtPokemonAction,method,010_Pivot_Acquisition_1_Runtime_Integration.rb,6,,,,,
runtime_hook,Object.pbStorePokemon,method,010_Pivot_Acquisition_1_Runtime_Integration.rb,17,,,,,
runtime_hook,Object.pbAddPokemon,method,010_Pivot_Acquisition_1_Runtime_Integration.rb,29,,,,,
runtime_hook,Object.pbAddPokemonSilent,method,010_Pivot_Acquisition_1_Runtime_Integration.rb,48,,,,,
runtime_hook,Object.pbAddToParty,method,010_Pivot_Acquisition_1_Runtime_Integration.rb,39,,,,,
runtime_hook,Object.pbAddToPartySilent,method,010_Pivot_Acquisition_1_Runtime_Integration.rb,73,,,,,
runtime_hook,Object.pbAddRentalPokemon,method,010_Pivot_Acquisition_1_Runtime_Integration.rb,95,,,,,
runtime_hook,Object.pbGenerateEgg,method,010_Pivot_Acquisition_1_Runtime_Integration.rb,103,,,,,
runtime_hook,Object.pbAddEgg,method,010_Pivot_Acquisition_1_Runtime_Integration.rb,112,,,,,
runtime_hook,Object.pbGenEgg,method,010_Pivot_Acquisition_1_Runtime_Integration.rb,116,,,,,
runtime_hook,Object.pbStartTrade,method,010_Pivot_Acquisition_1_Runtime_Integration.rb,121,,,,,
runtime_hook,PokemonStorage.pbStoreCaught,instance_method,010_Pivot_Acquisition_2_Storage_Integration.rb,29,,,,,
runtime_hook,PokeBattle_RealBattlePeer.pbStorePokemon,instance_method,010_Pivot_Acquisition_2_Storage_Integration.rb,43,,,,,
runtime_hook,Object.pbHatch,method,015_Pivot_Integration.rb,22,,,,,
runtime_hook,PokemonEvolutionScene.pbDuplicatePokemon,method,015_Pivot_Integration.rb,41,,,,,
obtainability_adapter,npcTrade,authored_acquisition_proof,"literal, fusion, local-variable, and event-variable outputs resolve",,,,,,
obtainability_adapter,pbAddEgg,authored_acquisition_proof,"literal, fusion, local-variable, and event-variable outputs resolve",,,,,,
obtainability_adapter,pbAddPokemon,authored_acquisition_proof,"literal, fusion, local-variable, and event-variable outputs resolve",,,,,,
obtainability_adapter,pbAddPokemonSilent,authored_acquisition_proof,"literal, fusion, local-variable, and event-variable outputs resolve",,,,,,
obtainability_adapter,pbAddToParty,authored_acquisition_proof,"literal, fusion, local-variable, and event-variable outputs resolve",,,,,,
obtainability_adapter,pbAddToPartySilent,authored_acquisition_proof,"literal, fusion, local-variable, and event-variable outputs resolve",,,,,,
obtainability_adapter,pbDoubleWildBattle,authored_acquisition_proof,"literal, fusion, local-variable, and event-variable outputs resolve",,,,,,
obtainability_adapter,pbGenEgg,authored_acquisition_proof,"literal, fusion, local-variable, and event-variable outputs resolve",,,,,,
obtainability_adapter,pbGenerateEgg,authored_acquisition_proof,"literal, fusion, local-variable, and event-variable outputs resolve",,,,,,
obtainability_adapter,pbStartTrade,authored_acquisition_proof,"literal, fusion, local-variable, and event-variable outputs resolve",,,,,,
obtainability_adapter,pbTripleWildBattle,authored_acquisition_proof,"literal, fusion, local-variable, and event-variable outputs resolve",,,,,,
obtainability_adapter,pbWildBattle,authored_acquisition_proof,"literal, fusion, local-variable, and event-variable outputs resolve",,,,,,
obtainability_adapter,pbAddForeignPokemon,authored_acquisition_proof,deferred runtime entry point uses the same species adapters,,,,,,
obtainability_adapter,pbWildBattleSpecific,authored_acquisition_proof,deferred runtime entry point uses the same species adapters,,,,,,
obtainability_adapter,pbItemBall,evolution_resource_proof,physical source resolves through the area catalog,,,,,,
obtainability_adapter,pbPokemonMart,evolution_resource_proof,resolved stock contributes repeatable item supply,,,,,,
obtainability_adapter,pbReceiveItem,evolution_resource_proof,resolved item and quantity contribute authored supply,,,,,,
obtainability_adapter,pbStoreItem,evolution_resource_proof,resolved item and quantity contribute authored supply,,,,,,
acquisition_call,map:5|event:2|page:1,pbWildBattle,wild_encounter,":B502H504,2,1,false,true)",,,,,
acquisition_call,map:5|event:2|page:2,pbWildBattle,wild_encounter,":B502H504,2,1,false,true)",,,,,
acquisition_call,map:18|event:5|page:1,pbAddPokemon,permanent_candidate,"starter,5,true,true)",,,,,
acquisition_call,map:30|event:27|page:1,pbWildBattle,wild_encounter,":SHROOMISH,7)",,,,,
acquisition_call,map:30|event:22|page:1,pbWildBattle,wild_encounter,":SHROOMISH,7)",,,,,
acquisition_call,map:30|event:17|page:1,pbWildBattle,wild_encounter,":SHROOMISH,7)",,,,,
acquisition_call,map:30|event:28|page:1,pbWildBattle,wild_encounter,":SHROOMISH,7)",,,,,
acquisition_call,map:30|event:23|page:1,pbWildBattle,wild_encounter,":SHROOMISH,7)",,,,,
acquisition_call,map:30|event:29|page:1,pbWildBattle,wild_encounter,":SHROOMISH,7)",,,,,
acquisition_call,map:30|event:24|page:1,pbWildBattle,wild_encounter,":SHROOMISH,7)",,,,,
acquisition_call,map:30|event:25|page:1,pbWildBattle,wild_encounter,":SHROOMISH,7)",,,,,
acquisition_call,map:30|event:20|page:1,pbWildBattle,wild_encounter,":SHROOMISH,7)",,,,,
acquisition_call,map:30|event:26|page:1,pbWildBattle,wild_encounter,":SHROOMISH,7)",,,,,
acquisition_call,map:30|event:21|page:1,pbWildBattle,wild_encounter,":SHROOMISH,7)",,,,,
acquisition_call,map:31|event:46|page:1,pbGenerateEgg,egg_candidate,:TORCHIC),,,,,
acquisition_call,map:38|event:56|page:1,pbWildBattle,wild_encounter,"fusionOf(:QWILFISH,:WAILORD),23,1,false)",,,,,
acquisition_call,map:38|event:48|page:1,pbGenerateEgg,egg_candidate,:SHELLOS_E),,,,,
acquisition_call,map:38|event:48|page:2,pbGenerateEgg,egg_candidate,:SHELLOS_W),,,,,
acquisition_call,map:39|event:39|page:2,pbAddPokemon,permanent_candidate,":CARVANHA,15)",,,,,
acquisition_call,map:39|event:68|page:1,pbAddPokemon,permanent_candidate,":SPHEAL,15)",,,,,
acquisition_call,map:42|event:5|page:1,pbAddPokemon,permanent_candidate,":UMBREON,20)",,,,,
acquisition_call,map:42|event:4|page:1,pbAddPokemon,permanent_candidate,":ESPEON,20)",,,,,
acquisition_call,map:47|event:29|page:1,pbTripleWildBattle,wild_encounter,":TRUBBISH,8,:B52H434,11,:TRUBBISH,9)",,,,,
acquisition_call,map:47|event:31|page:1,pbTripleWildBattle,wild_encounter,":TRUBBISH,8,:B52H434,11,:TRUBBISH,9)",,,,,
acquisition_call,map:48|event:87|page:2,pbAddPokemon,permanent_candidate,"pbGet(VAR_FOSSIL),1)",,,,,
acquisition_call,map:48|event:87|page:2,pbAddToParty,permanent_candidate,"pbGet(VAR_FOSSIL),1)",,,,,
acquisition_call,map:62|event:10|page:1,pbGenerateEgg,egg_candidate,:TREECKO),,,,,
acquisition_call,map:63|event:23|page:1,pbAddPokemon,permanent_candidate,:SUNKERN),,,,,
acquisition_call,map:65|event:5|page:1,pbWildBattle,wild_encounter,":MINIOR_M,pbGet(2))",,,,,
acquisition_call,map:65|event:22|page:1,pbWildBattle,wild_encounter,":MINIOR_M,pbGet(2))",,,,,
acquisition_call,map:65|event:34|page:1,pbGenerateEgg,egg_candidate,:MUDKIP),,,,,
acquisition_call,map:65|event:21|page:1,pbWildBattle,wild_encounter,":MINIOR_M,pbGet(2))",,,,,
acquisition_call,map:68|event:23|page:1,npcTrade,trade_candidate,":RIOLU,""Kai"",""Phil"",",,,,,
acquisition_call,map:76|event:16|page:2,pbGenerateEgg,egg_candidate,:SHELLOS_E),,,,,
acquisition_call,map:76|event:16|page:3,pbGenerateEgg,egg_candidate,:SHELLOS_W),,,,,
acquisition_call,map:76|event:17|page:2,pbGenerateEgg,egg_candidate,:SHELLOS_E),,,,,
acquisition_call,map:76|event:17|page:3,pbGenerateEgg,egg_candidate,:SHELLOS_W),,,,,
acquisition_call,map:77|event:30|page:1,pbGenerateEgg,egg_candidate,:SPOINK),,,,,
acquisition_call,map:87|event:29|page:1,npcTrade,trade_candidate,":CLAMPERL,""Pebble"",",,,,,
acquisition_call,map:98|event:1|page:1,pbWildBattle,wild_encounter,"pbGet(5),pbGet(4),1,true,false)",,,,,
acquisition_call,map:98|event:2|page:1,pbWildBattle,wild_encounter,"pbGet(5),pbGet(4),1,true,false)",,,,,
acquisition_call,map:98|event:3|page:1,pbWildBattle,wild_encounter,"pbGet(5),pbGet(4),1,true,false)",,,,,
