types,normal_count,fusion_count
NORMAL,47,1755
NORMAL|FIRE,0,1930
NORMAL|WATER,1,3549
NORMAL|ELECTRIC,0,1766
NORMAL|GRASS,0,2267
NORMAL|ICE,0,805
NORMAL|FIGHTING,3,1221
NORMAL|POISON,0,2055
NORMAL|GROUND,0,1776
NORMAL|FLYING,14,2609
NORMAL|PSYCHIC,2,2379
NORMAL|BUG,0,1382
NORMAL|ROCK,0,1419
NORMAL|GHOST,0,1622
NORMAL|DRAGON,0,1334
NORMAL|DARK,0,1055
NORMAL|STEEL,0,999
NORMAL|FAIRY,4,1505
FIRE,23,613
FIRE|WATER,0,2371
FIRE|ELECTRIC,0,1026
FIRE|GRASS,0,1507
FIRE|ICE,0,570
FIRE|FIGHTING,4,776
FIRE|POISON,0,1211
FIRE|GROUND,2,1231
FIRE|FLYING,6,1597
FIRE|PSYCHIC,1,1468
FIRE|BUG,2,907
FIRE|ROCK,1,1032
FIRE|GHOST,3,1026
FIRE|DRAGON,1,1023
FIRE|DARK,2,783
FIRE|STEEL,0,699
FIRE|FAIRY,0,869
WATER,44,2205
WATER|ELECTRIC,2,2032
WATER|GRASS,3,2830
WATER|ICE,6,1064
WATER|FIGHTING,1,1404
WATER|POISON,6,2707
WATER|GROUND,8,2503
WATER|FLYING,5,3005
WATER|PSYCHIC,5,2821
WATER|BUG,3,1618
WATER|ROCK,6,1918
WATER|GHOST,0,1830
WATER|DRAGON,2,1728
WATER|DARK,4,1330
WATER|STEEL,1,1228
WATER|FAIRY,2,1730
ELECTRIC,23,384
ELECTRIC|GRASS,0,1224
ELECTRIC|ICE,0,413
ELECTRIC|FIGHTING,0,568
ELECTRIC|POISON,0,988
ELECTRIC|GROUND,1,912
ELECTRIC|FLYING,2,1199
ELECTRIC|PSYCHIC,0,1240
ELECTRIC|BUG,2,853
ELECTRIC|ROCK,0,838
ELECTRIC|GHOST,1,831
ELECTRIC|DRAGON,1,765
ELECTRIC|DARK,0,601
ELECTRIC|STEEL,3,692
ELECTRIC|FAIRY,0,695
GRASS,21,666
GRASS|ICE,0,607
GRASS|FIGHTING,2,898
GRASS|POISON,12,1813
GRASS|GROUND,1,1435
GRASS|FLYING,4,1963
GRASS|PSYCHIC,3,1707
GRASS|BUG,2,1048
GRASS|ROCK,2,1172
GRASS|GHOST,5,1331
GRASS|DRAGON,0,991
GRASS|DARK,3,843
GRASS|STEEL,2,859
GRASS|FAIRY,2,1145
ICE,5,80
ICE|FIGHTING,0,306
ICE|POISON,0,513
ICE|GROUND,3,548
ICE|FLYING,2,602
ICE|PSYCHIC,2,650
ICE|BUG,0,363
ICE|ROCK,2,449
ICE|GHOST,1,464
ICE|DRAGON,1,406
ICE|DARK,2,301
ICE|STEEL,0,298
ICE|FAIRY,0,381
FIGHTING,12,161
FIGHTING|POISON,0,606
FIGHTING|GROUND,0,651
FIGHTING|FLYING,1,562
FIGHTING|PSYCHIC,3,833
FIGHTING|BUG,1,682
FIGHTING|ROCK,0,603
FIGHTING|GHOST,0,626
FIGHTING|DRAGON,2,429
FIGHTING|DARK,2,490
FIGHTING|STEEL,1,508
FIGHTING|FAIRY,0,441
POISON,15,201
POISON|GROUND,2,1121
POISON|FLYING,3,1109
POISON|PSYCHIC,0,1384
POISON|BUG,11,1411
POISON|ROCK,0,1125
POISON|GHOST,3,1081
POISON|DRAGON,1,789
POISON|DARK,0,794
POISON|STEEL,0,804
POISON|FAIRY,0,727
GROUND,10,221
GROUND|FLYING,2,1178
GROUND|PSYCHIC,2,1273
GROUND|BUG,1,976
GROUND|ROCK,9,1197
GROUND|GHOST,4,1006
GROUND|DRAGON,5,940
GROUND|DARK,3,717
GROUND|STEEL,1,757
GROUND|FAIRY,0,738
FLYING|PSYCHIC,6,1619
FLYING|BUG,9,1645
FLYING|ROCK,3,1361
FLYING|GHOST,3,1313
FLYING|DRAGON,6,966
FLYING|DARK,2,962
FLYING|STEEL,1,975
FLYING|FAIRY,2,716
PSYCHIC,21,498
PSYCHIC|BUG,0,1097
PSYCHIC|ROCK,2,1150
PSYCHIC|GHOST,0,1252
PSYCHIC|DRAGON,3,1096
PSYCHIC|DARK,0,851
PSYCHIC|STEEL,4,960
PSYCHIC|FAIRY,5,1022
BUG,9,246
BUG|ROCK,3,666
BUG|GHOST,1,730
BUG|DRAGON,0,693
BUG|DARK,0,436
BUG|STEEL,3,501
BUG|FAIRY,0,778
ROCK,9,228
ROCK|GHOST,0,817
ROCK|DRAGON,2,772
ROCK|DARK,1,526
ROCK|STEEL,6,645
ROCK|FAIRY,2,762
GHOST,9,205
GHOST|DRAGON,1,740
GHOST|DARK,2,650
GHOST|STEEL,3,683
GHOST|FAIRY,1,710
DRAGON,11,246
DRAGON|DARK,3,615
DRAGON|STEEL,1,582
DRAGON|FAIRY,0,569
DARK,7,129
DARK|STEEL,2,408
DARK|FAIRY,0,499
STEEL,4,85
STEEL|FAIRY,2,572
FAIRY,9,99
